VREME         KORISNIK   PID     RODITELJ         ISHOD     TRAJANJE   KOMANDA
10:06:43.623  kali       2941    zsh              OK        170.0      /usr/bin/head
10:06:43.625  kali       2942    zsh              OK        144.5      /usr/bin/head
10:06:43.626  kali       2943    zsh              OK        131.2      /usr/bin/head
10:06:43.628  kali       2944    zsh              OK        127.6      /usr/bin/head
10:06:43.629  kali       2945    zsh              OK        126.7      /usr/bin/head
10:06:43.631  kali       2946    zsh              OK        136.0      /usr/bin/head
10:06:43.633  kali       2947    zsh              OK        123.2      /usr/bin/head
10:06:43.634  kali       2948    zsh              OK        123.9      /usr/bin/head
10:06:43.635  kali       2949    zsh              OK        122.4      /usr/bin/head
10:06:43.636  kali       2950    zsh              OK        123.7      /usr/bin/head
10:06:43.638  kali       2951    zsh              OK        131.2      /usr/bin/head
10:06:43.639  kali       2952    zsh              OK        127.5      /usr/bin/head
10:06:43.643  kali       2953    zsh              OK        172.6      /usr/bin/head
10:06:43.645  kali       2954    zsh              OK        331.9      /usr/bin/head
10:06:43.647  kali       2955    zsh              OK        221.9      /usr/bin/head
10:06:43.650  kali       2956    zsh              OK        257.0      /usr/bin/head
10:06:43.652  kali       2957    zsh              OK        188.7      /usr/bin/sleep
10:06:44.663  kali       2958    wrapper-2.0      OK        6493.3     /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:44.682  kali       2962    xfce4-panel-gen  OK        2497.0     /usr/bin/head
10:06:44.689  kali       2960    xfce4-panel-gen  OK        410.7      /usr/sbin/ip
10:06:44.705  kali       2961    xfce4-panel-gen  OK        541.3      /usr/bin/cut
10:06:44.758  kali       2965    xfce4-panel-gen  OK        2809.0     /usr/bin/grep
10:06:44.763  kali       2964    xfce4-panel-gen  OK        8068.0     /usr/sbin/ip
10:06:45.667  kali       2966    wrapper-2.0      OK        10035.5    /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:45.683  kali       2969    xfce4-panel-gen  OK        287.8      /usr/bin/cut
10:06:45.684  kali       2968    xfce4-panel-gen  OK        164.5      /usr/sbin/ip
10:06:45.684  kali       2970    xfce4-panel-gen  OK        201.7      /usr/bin/head
10:06:45.689  kali       2973    xfce4-panel-gen  OK        247.2      /usr/bin/grep
10:06:45.689  kali       2972    xfce4-panel-gen  OK        261.2      /usr/sbin/ip
10:06:46.666  kali       2974    wrapper-2.0      OK        4018.3     /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:46.670  kali       2975    zsh              OK        548.1      /usr/bin/seq
10:06:46.680  kali       2977    xfce4-panel-gen  OK        262.0      /usr/sbin/ip
10:06:46.680  kali       2978    xfce4-panel-gen  OK        272.5      /usr/bin/cut
10:06:46.681  kali       2979    xfce4-panel-gen  OK        272.2      /usr/bin/head
10:06:46.685  kali       2980    zsh              OK        1038.1     /usr/bin/cut
10:06:46.691  kali       2981    zsh              OK        374.9      /usr/bin/cut
10:06:46.692  kali       2983    xfce4-panel-gen  OK        347.0      /usr/sbin/ip
10:06:46.696  kali       2984    xfce4-panel-gen  OK        298.6      /usr/bin/grep
10:06:46.711  kali       2985    zsh              OK        967.9      /usr/bin/cut
10:06:46.730  kali       2986    zsh              OK        1732.5     /usr/bin/cut
10:06:46.744  kali       2987    zsh              OK        2750.9     /usr/bin/cut
10:06:46.756  kali       2988    zsh              OK        879.7      /usr/bin/cut
10:06:46.767  kali       2989    zsh              OK        508.3      /usr/bin/cut
10:06:46.776  kali       2990    zsh              OK        561.5      /usr/bin/cut
10:06:46.790  kali       2991    zsh              OK        2020.2     /usr/bin/cut
10:06:46.801  kali       2992    zsh              OK        1017.8     /usr/bin/cut
10:06:46.818  kali       2993    zsh              OK        5028.3     /usr/bin/cut
10:06:46.841  kali       2994    zsh              OK        11263.6    /usr/bin/cut
10:06:46.855  kali       2995    zsh              OK        937.8      /usr/bin/cut
